entity_name,address,floor,borough,state,zip,aed_num_person_trained,aed_num_aeds,latitude,longitude,community_district,council_district,census_tract_2010,nta_code,bbl,bin,location_point
Minskoff Theater,200 West 45th Street,coatcheck,Manhattan,New York,10036,2,1,40.75803215,-73.98571676,105,3,11900,MN17,1010160036,1024714,POINT (-73.98571676 40.75803215)
Brooklyn Ascend Charter Middle School,123 East 98th Street,Main Entrance,Brooklyn,New York,11212,7,1,40.66405845,-73.92188309,316,41,90000,BK81,3035310001,3081158,POINT (-73.92188309 40.66405845)
VAN ECK,666 3 AVENUE,RECEPTION; HALL PANTRY; COPY ROOM,Manhattan,New York,10017,20,4,40.75104199,-73.97425173,106,4,9200,MN19,1012970033,1036161,POINT (-73.97425173 40.75104199)
Cypress Hills Ascend Charter Lower School,396 Grant Avenue,Main Entrance,Brooklyn,New York,11208,0,1,40.6812394,-73.86681137,305,37,118600,BK83,3041740067,3093770,POINT (-73.86681137 40.6812394)
Notre Dame School,327 WEST 13 STREET,Special Needs Student,Manhattan,New York,10014,22,1,40.73964305,-74.00438446,102,3,7700,MN23,1006290055,1011719,POINT (-74.00438446 40.73964305)
Bronx Engineering and Technology Academy,99 Terrace View Avenue,Exit E and F 3rd Floor,Bronx,New York,10463,2,1,40.87709942,-73.91225527,208,10,30900,MN01,2022150080,1064532,POINT (-73.91225527 40.87709942)
P.S. 133 William A. Butler,610 Baltic Street,Outside Room 514,Brooklyn,New York,11217,10,1,40.68042033,-73.9804912,306,39,12901,BK37,3009400111,3413716,POINT (-73.9804912 40.68042033)
Hearst Corporation,300 West 57th Street,"14th Floor, Gym",Manhattan,New York,10019,39,1,40.76643902,-73.98332508,104,6,13900,MN15,1010477502,1025451,POINT (-73.98332508 40.76643902)
J.H.S. 080 The Mosholu Parkway,149 East Mosholu Parkway N,4th Floor Outside Elevator (Across From Rm 459),Bronx,New York,10467,5,1,40.87629236,-73.88153067,207,11,41900,BX43,2033360035,2018046,POINT (-73.88153067 40.87629236)
Hearst Corporation,300 WEST 57 STREET,Floor 29 Hall outside Men's Room,Manhattan,New York,10019,63,1,40.76643902,-73.98332508,104,6,13900,MN15,1010477502,1025451,POINT (-73.98332508 40.76643902)
